agent,incident,appearances,total
evelyn_dock,HiddenOrca,6,42
evelyn_dock,MellowOtter,2,42
evelyn_dock,SwiftWren,34,42
gabriel_sonar,HiddenOrca,7,41
gabriel_sonar,MellowOtter,2,41
gabriel_sonar,SwiftWren,32,41
zoey_drydock,HiddenOrca,8,38
zoey_drydock,MellowOtter,2,38
zoey_drydock,SwiftWren,28,38
levi_signal,HiddenOrca,4,36
levi_signal,MellowOtter,2,36
levi_signal,SwiftWren,30,36
victoria_rigging,HiddenOrca,8,36
victoria_rigging,MellowOtter,2,36
victoria_rigging,SwiftWren,26,36
owen_hatch,HiddenOrca,6,34
owen_hatch,MellowOtter,2,34
owen_hatch,SwiftWren,26,34
chloe_ballast,HiddenOrca,6,32
chloe_ballast,SwiftWren,26,32
mia_fender,HiddenOrca,4,30
mia_fender,MellowOtter,2,30
mia_fender,SwiftWren,24,30
olivia_keel,HiddenOrca,6,28
olivia_keel,MellowOtter,2,28
olivia_keel,SwiftWren,20,28
liam_anchor,HiddenOrca,4,26
liam_anchor,SwiftWren,22,26
daniel_gangway,HiddenOrca,2,24
daniel_gangway,SwiftWren,22,24
lily_anchorline,HiddenOrca,4,24
lily_anchorline,MellowOtter,2,24
lily_anchorline,SwiftWren,18,24
henry_sail,HiddenOrca,2,22
henry_sail,SwiftWren,20,22
james_stern,HiddenOrca,6,20
james_stern,SwiftWren,14,20
michael_capstan,HiddenOrca,4,16
michael_capstan,SwiftWren,12,16
john_windward,HiddenOrca,1,11
john_windward,MellowOtter,1,11
john_windward,SwiftWren,9,11
david_breakwater,SwiftWren,8,8
emma_harbor,SwiftWren,1,1
noah_mariner,MellowOtter,1,1
